iter	Passed	Remaining
0	1	165
1	3	153
2	4	147
3	5	134
4	7	134
5	8	132
6	9	131
7	11	130
8	12	128
9	14	127
10	15	126
11	16	124
12	18	123
13	19	121
14	21	120
15	22	118
16	24	117
17	25	116
18	26	114
19	28	113
20	29	111
21	32	114
22	33	111
23	34	109
24	35	107
25	37	105
26	38	103
27	39	101
28	40	99
29	41	97
30	42	95
31	43	93
32	44	91
33	46	89
34	47	87
35	48	85
36	49	84
37	50	82
38	51	81
39	52	79
40	54	77
41	54	75
42	55	73
43	56	72
44	57	70
45	58	69
46	59	67
47	61	66
48	62	64
49	63	63
50	64	61
51	65	60
52	66	59
53	67	57
54	68	55
55	69	54
56	70	53
57	71	51
58	72	50
59	73	49
60	75	47
61	76	46
62	77	45
63	78	44
64	79	42
65	80	41
66	81	40
67	82	39
68	83	37
69	85	36
70	86	35
71	87	33
72	88	32
73	89	31
74	90	30
75	91	28
76	92	27
77	94	26
78	95	25
79	96	24
80	97	22
81	98	21
82	99	20
83	100	19
84	101	17
85	103	16
86	104	15
87	105	14
88	106	13
89	107	11
90	108	10
91	109	9
92	110	8
93	111	7
94	113	5
95	114	4
96	115	3
97	116	2
98	117	1
99	118	0
