iter	Passed	Remaining
0	3	3735
1	6	3434
2	10	3352
3	14	3525
4	17	3421
5	22	3733
6	25	3636
7	35	4355
8	38	4196
9	46	4567
10	50	4528
11	53	4399
12	61	4677
13	64	4536
14	68	4489
15	70	4356
16	73	4254
17	82	4487
18	84	4386
19	87	4293
20	92	4300
21	95	4232
22	98	4168
23	101	4136
24	110	4294
25	112	4229
26	115	4164
27	126	4382
28	130	4359
29	136	4424
30	140	4386
31	146	4424
32	152	4473
33	156	4458
34	159	4407
35	179	4819
36	189	4919
37	191	4850
38	194	4782
39	197	4733
40	204	4794
41	207	4735
42	211	4706
43	220	4785
44	222	4730
45	228	4738
46	236	4787
47	238	4736
48	241	4689
49	244	4647
50	253	4710
51	256	4673
52	262	4694
53	266	4663
54	269	4627
55	272	4589
56	275	4550
57	292	4750
58	295	4710
59	323	5072
60	326	5032
61	336	5090
62	339	5048
63	343	5017
64	345	4977
65	348	4936
66	352	4902
67	356	4879
68	358	4839
69	363	4828
70	366	4790
71	393	5074
72	396	5036
73	400	5006
74	403	4974
75	406	4946
76	416	4996
77	420	4970
78	458	5343
79	461	5309
80	464	5274
81	468	5245
82	486	5378
83	489	5341
84	492	5304
85	500	5317
86	503	5282
87	506	5248
88	514	5266
89	518	5239
90	521	5210
91	529	5222
92	532	5194
93	535	5162
94	538	5133
95	548	5160
96	551	5131
97	554	5101
98	587	5348
99	595	5363
100	598	5330
101	602	5301
102	610	5312
103	613	5281
104	616	5250
105	618	5219
106	626	5229
107	629	5198
108	632	5169
109	635	5138
110	643	5152
111	646	5122
112	649	5097
113	657	5112
114	660	5083
115	663	5054
116	665	5023
117	672	5027
118	675	4999
119	678	4977
120	681	4950
121	690	4968
122	693	4947
123	697	4925
124	701	4913
125	706	4903
126	708	4873
127	711	4848
128	719	4856
129	722	4832
130	725	4809
131	727	4785
132	735	4794
133	738	4773
134	742	4754
135	744	4731
136	752	4738
137	755	4721
138	758	4699
139	761	4677
140	792	4828
141	800	4835
142	802	4811
143	805	4788
144	808	4765
145	815	4769
146	817	4745
147	820	4723
148	823	4701
149	830	4706
150	833	4685
151	836	4664
152	838	4643
153	846	4648
154	848	4627
155	851	4607
156	854	4586
157	856	4567
158	864	4570
